id|type|clubType|partners|bear|bearDescription|clubDescription|programSuggestion|programDescription
0|INFP|사회활동분과|ENFJ/ENTJ|과일향의 에일|힘든 상황에서도 긍정적인 면을 바라보고 자신의 원리, 원칙을 지키며 살아가는 당신! 에일류의 맥주의 쓴맛보다 과일향을 알아볼 수 있는 당신에게 과일향의 에일 맥주를 추천해드립니다! 이러한 과일향 에일은 당신의 숨겨진 즐거움과 영감을 찾는데 부스터의 역할을 해줄 수 있을 겁니다!|당신과 어울리는 동아리는 사회활동분과 입니다!|연트워크|종종 수줍음이 많은 사람처럼 비추어지는 당신은 마음이 맞는 사람을 만나면 다른 누구보다 즐겁고 행복한 시간을 보낼 수 있을 거예요. 당신과 주파수가 일치한 그 사람, 2020 공상전 연트워크에서 만나보세요!
1|INFJ|사회활동분과|ENFP/ENTP|과일향의 에일|섬세하면서도 강인함을 지닌 당신과 어울리는 맥주는 부드러운 과일향에 숨어있는 씁쓸한 맛을 가진 과일향의 에일입니다! 너무 많은 곳에 신경을 쓰다 보니 자신만의 시간이 필요하지는 않았나요? 혼자 편하게 마실 수 있는 과일향의 에일과 함께해보세요!|당신과 어울리는 동아리는 사회활동분과 입니다!|게임|강한 의지와 분별력이 있는 당신, 단순히 개인의 이득을 취하는 데 이를 활용하는 것이 아닌 팀을 위해 당신의 창의적인 상상력과 강한 신념, 그리고 특유의 섬세함으로 게임을 승리로 이끄는 경험 공상전 게임 프로그램에서 즐겨 보세요!
2|INTP|학술교양분과|ENTJ/ESTJ|IPA|평범함을 거부하는 당신! 당신의 독창성과 창의력을 갖췄으며 무엇이든 멋있는 논리와 분석을 통해 결과를 만들어내는 당신과 어울리는 맥주는 강한 개성을 가지는 IPA입니다! |당신과 어울리는 동아리는 학술교양분과 입니다!|게임|남들보다 뛰어난 호기심과 관찰력, 그리고 논리를 가진 당신, 사람들의 언행에 불일치되는 부분을 귀신같이 집어낼 수 있는 당신! 2020 공상전에서 거짓말을 하고 있는 임포스터를 잡아주세요!
3|INTJ|학술교양분과|ENFP/ENTP|IPA|다양하고 풍부한 지식에 대한 강한 자부심을 가지고 있으면서도 풍부한 상상력과 결단력을 가진 당신, 새롭고 기발한 아이디어를 위해서라면 혼자라도 나아갈 수 있는 당신에게 어울리는 맥주는 홉의 맛을 살린 개성 있는 IPA입니다! |당신과 어울리는 동아리는 학술교양분과 입니다!|엘리트들|놀라울 정도의 호기심을 가졌지만 에너지를 낭비하지 않고 계획적으로, 전략적으로 앞에 놓인 문제를 해결하는 당신, 제한된 시간 내에 주어진 증거를 빠르고 정확하게 분석하여 2020 공상전에서 벌어진 이 사건을 해결해 탈출에 성공해보세요!
4|ISFP|공연예술분과/체육분과|ENFJ/ESFJ/ESTJ|흑맥주와 라거|즉흥적이고 도전적인 성격을 지닌 당신은 새로운 변화에 도전하고 스스로의 문제와 상황을 성찰하며 계속해서 발전하는 당신에게 어울리는 맥주는 깔끔하고, 아무 맛에도 방해받지 않는 깨끗한 라거 혹은 자유로우며 새로운 도전에 서슴지 않는 커피와 다크초콜릿 향의 흑맥주입니다!|당신과 어울리는 동아리는 공연예술분과 or 체육분과 입니다!|연트워크|"거부할 수 없는 매력을 가진, 즉흥적이고 모험을 즐기는 당신!! 마음이 맞는 사람을 2020 공상전 연트워크에서 만나 다채롭고 감각적인 삶을 실현해 보세요! "
5|ISFJ|창작예술분과|ESFP/ESTP|국산 수제 맥주|내성적이면서도 타인을 잘 포용할 줄 아는 당신은 섬세하면서도 풍부한 상상력으로 진심을 전달하여 타인에게 좋은 평판을 가지고 있을 겁니다. 양조자의 섬세하고 깊은 철학이 담긴 국산 수제 맥주가 지향하는 색다른 이상을 즐겨보는 건 어떨까요?|당신과 어울리는 동아리는 창작예술분과 입니다!|공상서유기|신중하고 세심하며 꼼꼼한 면모를 보이는 당신은 다른 사람들보다 우수한 기억력을 가지고 있습니다. 2020 공상전 공상서유기에서 뛰어난 기억력과 예상할 수 없는 과감함으로 주어진 미션들을 클리어해 나가봐요!
6|ISTP|창작예술분과|ESFJ/ESTJ|흑맥주와 라거|항상 새로운 것에 도전하는 것을 좋아하고 다재다능한 당신, 앉아서 지루한 일상에 지쳐가고 있다면 흑맥주의 색다른 풍미를 느껴보는 것은 어떨까요? 자신의 맛을 그대로 표현하는 시원한 라거 한 캔도 좋을 것 같아요!|당신과 어울리는 동아리는 창작예술분과 입니다!|엘리트들|무엇이든 직접 손으로 만지고 눈으로 보면서 세상을 탐색하는 것을 좋아하는 당신, 2020 공상전에서 벌어진 이 흥미로운 살인 사건의 증거들을 분석하여 범인을 잡아 주세요!
7|ISTJ|공연예술분과/체육분과|ESFP/ESTP|국산 수제 맥주|자신이 맡은 일에 자부심을 가지고 헌신적으로 책임감을 가지고 계획에 맞추어 하나하나 해결해나가는 당신, 본인의 철학과 이념을 가진 당신에게 어울리는 맥주는 본인의 철학과 섬세한 맛을 가진 국산 수제 맥주입니다!|당신과 어울리는 동아리는 공연예술분과 or 체육분과 입니다!|엘리트들|목표를 달성하기 위해 시간과 에너지를 허투루 쓰지 않으며, 필요한 업무를 정확하고 신중하게 처리하는 당신, 2020 공상전에서 벌어진 살인 사건을 해결하기 위해서는 당신의 객관적인 분석력이 필요합니다! 제한된 시간 내에 범인을 잡아 탈출에 성공해 주세요!
8|ENFP|공연예술분과/체육분과|INFJ/INTJ|과일향의 에일|창의적이고 자유로운 활동을 즐기는 당신은 당신의 가슴을 뛰게 하는 일에 자신을 내던지곤 합니다. 어디서든 창의적이고 에너지 넘치는 모습을 보여주는 당신과 어울리는 맥주는 상큼한 과일 향을 품은 에일입니다. 지루한 하루하루에 질려 버렸다면 에일이 당신의 에너지에 부스터 역할을 해줄 거예요!|당신과 어울리는 동아리는 공연예술분과 or 체육분과 입니다!|공상시그널|사람들이 모인 자리에서 분위기 메이커 역할을 하는 당신은 활발하면서 인정이 많아 사회적, 정서적으로 깊은 유대 관계를 맺는 것에서 행복을 느끼곤 합니다. 다른 사람들이 거부할 수 없는 당신의 매력을 2020 공상전 공상시그널에서 보여주세요!
9|ENFJ|사회활동분과|INFP/ISFP|과일향의 에일|진심으로 타인을 믿을 줄 아는 당신은 종종 카리스마와 열정을 가지고 좋은 공동체를 만들기 위해 사람들을 독려할 줄 아는 리더입니다. 타인들과 함께하는 자리를 좋아하고 화합을 도모하는 당신은 상큼하게 모두를 행복하게 만들어주는 과일향 에일과 어울리는 것 같네요!|당신과 어울리는 동아리는 사회활동분과 입니다!|가짜 캠퍼스|"카리스마와 충만한 열정을 지닌 타고난 리더! 긍정적인 에너지로 세상에 빛과 소금이 될 수 있도록 사람들을 독려하는 당신은 좋은 공동체를 만들기 위해 사람들을 동참시키고 이끄는 것에 재능이 있습니다. 당신의 팀을 최고의 팀으로 만들어 ""진짜 캠퍼스""를 누려보세요!"
